2014.1.17,,845,Angle Grinder,1,1,0,___,18.Jan.,,1,,,,,,,,1,2014.1.18 gave to Luis,,,,,,,,,,,,,,,,,,
2014.1.22,,840,Trade show Banners,1,1,0,Shine Wong,23.Feb,,1,,,,,,,,1,gave Luis,,,,,,,,,,,,,,,,,,
2014.2.11,,12580,Safety seals,200000,200000,0,__,18.Feb.,A,200000,,,,,,,,50000,"2014.3.13: Luis carried 5,000pcs",150000,2014.3.28: SHIPP TO USA 4189-2,,,,,,,,,,,,,,,,
2014.2.11,,6165,PVC Ziplock Pouch (Standard)- 220 x 113 x 30mm,10000,10000,0,___,30.Feb.,A,10000,,,,,,,,10000,2014.3.25: ship to rotterdam by LCL 4185,,,,,,,,,,,,,,,,,,
2014.2.12,,1540,Pre-Loaded tray pouch / foil pouch (blue - new),50000,50000,0,____,"22,Mar","24,Mar",50000,,,,,,,,18000,2014.4.28: ship to USA by air 4202,32000,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,0,18000,30
,,1785,Take Home Kit - WSC instructions,30000,30000,0,___,"20,Feb",A,30000,,,,,,,,30000,2014.3.28: SHIPP TO USA 4189-2,,,,,,,,,,,,,,,46x31.5x22.5,0,7500,27
2014.2.14,Loli,1781,"Plastic Box - for Premium Kit, Sodium percarbonate",2000,2000,0,__,"22,Feb",A,2000,,,,,,,,1000,2014.3.22: ship to spain 4184,1000,2014.4.23: ship to rotterdam by container 4201,,,,,,,,,,,,,,,,
2014.2.14,Loli,1205,Beverly Hills Finger Teeth Wipe,1500,1500,0,___,"20,Feb",A,1500,,,,,,,,200,ship to Moscow,1300,2014.4.23: ship to rotterdam by container 4201,,,,,,,,,,,,,,,,
2014.2.14,Luis,12080,"Futura 2400 - BW, White",170,164,0,JOJO,?,P,164,,,,,,,,50,2014.3.12: SHIPPED TO USA BY AIR,40,2014.3.25:ship to rotterdam by LCL 4185,19,2014.4.1: SHIP TO UK BY AIR 4191,30,2014.4.18 ship to USA 4197,23,2014.4.28: ship to USA by air 4202,2,2014.5.08: SHIP TO USA 4205,,,,,,0,1,7
2014.2.14,Luis,12090,White Lamp - Generic,30,30,0,JOJO,,,30,,,,,,,,13,2014.4.18 ship to USA 4197,17,2014.4.28: ship to USA by air 4202,,,,,,,,,,,,,,0,1,7
2014.2.14,Luis,12025,Dental Lamp - Generic,6,6,6,JOJO,"24,Feb",P,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,7
,,12010,Futura 2400 Clamp On - BW,3,3,0,JOJO,,,3,,,,,,,,3,2014.3.25: SHIP TO ROTTERDAM BY LCL 4185,,,,,,,,,,,,,,,,0,3,9
,,12055,RFID White Lamp - Generic,1,1,0,JOJO,,,1,,,,,,,,1,2014.3.25: ship to rotterdam by LCL 4185,,,,,,,,,,,,,,,,,,
2014.2.14,Luis,18040,Professional Teeth Shade Guide,100,100,0,JOJO,"14,Feb",A,100,,,,,,,,10,send to Spain,50,2014.3.12: SHIPPED TO USA BY AIR,40,2014.4.18 ship to USA 4197,,,,,,,,,,,,,,
2014.2.22,Luis,6030,Box: CW EU Fusion - Percarbonate,10000,10000,0,___,"8,Mar",A,10000,,,,,,,,6300,2014.3.4 to spain by express 4180,3700,2014.3.22: ship to spain 4184,,,,,,,,,,,,,,,,
2014.2.22,Luis,6070,Box: DW EU Fusion - Percarbonate,5000,5000,0,___,"8,Mar",A,5000,,,,,,,,5000,to spain by express 4180,,,,,,,,,,,,,,,,,,
2014.2.22,Luis/Loli,1060,EU Advanced 6% Kit Box ,2000,2000,550,___,"8,Mar",A,1450,,,,,,,,100,to spain by express 4180,200,2014.3.04;carried by luis,300,2014.3.12: SHIPPED TO USA BY AIR,300,2014.4.23: ship to rotterdam by container 4201,500,2014.4.28: SHIP TO USA 4202,50,2014.7.22: ship to spain by DHL 4222,,,,,,,,
2014.2.22,Luis,1065,TWT - Professional Bleaching Kit 6% - box,2000,2000,0,___,"8,Mar",A,2000,,,,,,,,200,2014.3.04: carried by Luis.,200,2014.4.28: SHIP TO USA 4202,1600,2014.6.13: SHIIP TO USA 4215-1,,,,,,,,,,,,,,
2014.2.22,Loli,6185,Pen Box - EU ,10000,10000,0,___,"8,Mar",A,10000,,,,,,,,10000,2014.4.23: ship to rotterdam by container 4201,,,,,,,,,,,,,,,40X32.5X27.5,0,1800,9
2014.3.5,Luis,5076,50 mL - Blue bottle,50000,50000,0,___,"5,Apr","20,Apr",50000,,,,,,,,10000,2014.4.28: ship to USA by air 4202,40000,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,0,1250,17
,,5065,"50 mL - Foam Spray Bottle, Cap",41000,41000,0,___,"5,Apr","20,Apr",41000,,,,,,,,10000,2014.4.28: ship to USA by air 4202,31000,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,0,500,9
2014.3.14,Luis,7005,Forever White pen box Blue Flag,30000,30000,0,___,"27,Mar","26,Mar",30000,,,,,,,,2100,2014.4.28: SHIP TO USA 4202,27900,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,0,2100,10
2014.3.14,Luis,1402,Forever White headset wrap,2050,2050,0,___,"27,Mar","26,Mar",2050,,,,,,,,2050,2014.5.19: SHIP TO USA 4210-2,,,,,,,,,,,,,,,,,,
2014.3.14,Luis,7000,Forever White pen box Pure Smile,2500,2500,0,___,"27,Mar","26,Mar",2500,,,,,,,,100,2014.4.03: SHIP TO AUSTRALIA 4192,500,2014.4.28: SHIP TO USA 4202,1900,2014.7.26: ship to USA by air 4225,,,,,,,,,,,,,,
2014.3.14,Luis,1066,"EU Compliant, Pure Smile - box",2000,2000,0,___,"27,Mar","26,Mar",2000,,,,,,,,100,2014.4.03: SHIP TO AUSTRALIA 4192,500,2014.4.28: SHIP TO USA 4202,1400,2014.7.26: ship to USA by air 4225,,,,,,,,,,,,,,
,Luis,8001,Cardboard Box (Evoke Mask-Red),200,200,100,___,,"26,Mar",100,,,,,,,,25,2014.3.26: ship to italy 4188,75,2014.4.18 ship to USA 4197,,,,,,,,,,,,,,,,
,Luis,8002,Cardboard Box (Evoke Mask-Blue),200,200,100,___,,"26,Mar",100,,,,,,,,25,2014.3.26: ship to italy 4188,75,2014.4.18 ship to USA 4197,,,,,,,,,,,,,,,,
2014.3.10,Luis,21141,Futura 2400 Lamp Manual - BW,500,500,0,___,"13,Mar",,500,,,,,,,,460,2014.3.18_ Send 460pcs to JOJO's factory,40,2014.3.19: shipped to USA by epxress 4183,,,,,,,,,,,,,,0,1,7
2014.3.25,Luis,1220,Divine White Bags,3000,3000,0,___,,"7,Apr",3000,,,,,,,,1080,2014.4.18 ship to USA 4197,1920,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,0,360,18
2014.3.25,Luis,1770,Take Home Generic- Premium bag,3000,3000,0,___,"31,Mar","7,Apr",3000,,,,,,,,1120,2014.4.1: SHIP TO SPAIN 4190,1880,2014.4.23: ship to UK by air 4200,,,,,,,,,,,,,,0,280,18
2014.3.25,Luis,1775,Take Home Professional bag,1000,1000,0,___,,"7,Apr",1000,,,,,,,,1000,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,,,0,280,18
2014.3.25,Luis,1401,"Headset bag, Forever White",1640,1640,0,___,,"7,Apr",1640,,,,,,,,1640,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,,,,,
2014.3.13,William,11245,Label 1.2mL Remi/Desensitizing - blue,2500,2500,0,__,"30,Mar","29,Mar",2500,,,,,,,,2500,2014.3.28: SHIPP TO USA 4189-2,,,,,,,,,,,,,,,,,,
2014.3.13,William,11180,Label 1.2mL Remi/Desensitizing - purple,2500,2500,0,__,"30,Mar","29,Mar",2500,,,,,,,,2500,2014.3.28: SHIPP TO USA 4189-2,,,,,,,,,,,,,,,,,,
